change_source,changed_property,changed_value_new,changed_value_old,entity_id,id,last_modified,nango_metadata_cursor,nango_metadata_first_seen_at,nango_metadata_last_action,nango_metadata_last_modified_at,properties_address,properties_address2,properties_annualrevenue,properties_city,properties_closedate,properties_country,properties_createdate,properties_days_to_close,properties_description,properties_domain,properties_ds_liurl,properties_ds_liwebsite,properties_engagements_last_meeting_booked,properties_facebook_company_page,properties_first_contact_createdate,properties_first_conversion_date,properties_first_conversion_event_name,properties_first_deal_created_date,properties_founded_year,properties_hs_all_accessible_team_ids,properties_hs_all_assigned_business_unit_ids,properties_hs_all_owner_ids,properties_hs_all_team_ids,properties_hs_analytics_first_timestamp,properties_hs_analytics_first_touch_converting_campaign,properties_hs_analytics_first_visit_timestamp,properties_hs_analytics_last_timestamp,properties_hs_analytics_last_touch_converting_campaign,properties_hs_analytics_last_visit_timestamp,properties_hs_analytics_latest_source,properties_hs_analytics_latest_source_data_1,properties_hs_analytics_latest_source_data_2,properties_hs_analytics_latest_source_timestamp,properties_hs_analytics_num_page_views,properties_hs_analytics_num_visits,properties_hs_analytics_source,properties_hs_analytics_source_data_1,properties_hs_analytics_source_data_2,properties_hs_annual_revenue_currency_code,properties_hs_country_code,properties_hs_created_by_user_id,properties_hs_date_entered_customer,properties_hs_date_entered_lead,properties_hs_date_entered_opportunity,properties_hs_date_exited_lead,properties_hs_date_exited_opportunity,properties_hs_employee_range,properties_hs_industry_group,properties_hs_is_enriched,properties_hs_keywords,properties_hs_last_booked_meeting_date,properties_hs_last_logged_call_date,properties_hs_last_logged_outgoing_email_date,properties_hs_last_open_task_date,properties_hs_last_sales_activity_date,properties_hs_last_sales_activity_timestamp,properties_hs_last_sales_activity_type,properties_hs_lastmodifieddate,properties_hs_latest_meeting_activity,properties_hs_linkedin_handle,properties_hs_logo_url,properties_hs_notes_last_activity,properties_hs_notes_next_activity,properties_hs_notes_next_activity_type,properties_hs_num_blockers,properties_hs_num_child_companies,properties_hs_num_contacts_with_buying_roles,properties_hs_num_decision_makers,properties_hs_num_open_deals,properties_hs_object_id,properties_hs_object_source,properties_hs_object_source_detail_1,properties_hs_object_source_id,properties_hs_object_source_label,properties_hs_object_source_user_id,properties_hs_pipeline,properties_hs_predictivecontactscore_v2,properties_hs_revenue_range,properties_hs_sales_email_last_replied,properties_hs_state_code,properties_hs_target_account_probability,properties_hs_task_label,properties_hs_time_in_customer,properties_hs_time_in_lead,properties_hs_time_in_opportunity,properties_hs_total_deal_value,properties_hs_unique_creation_key,properties_hs_updated_by_user_id,properties_hs_user_ids_of_all_owners,properties_hs_v2_cumulative_time_in_lead,properties_hs_v2_date_entered_lead,properties_hs_v2_date_entered_opportunity,properties_hs_v2_date_exited_lead,properties_hs_v2_latest_time_in_lead,properties_hs_was_imported,properties_hubspot_owner_assigneddate,properties_hubspot_owner_id,properties_hubspot_team_id,properties_industry,properties_is_public,properties_lifecyclestage,properties_linkedin_company_page,properties_linkedinbio,properties_name,properties_notes_last_contacted,properties_notes_last_updated,properties_notes_next_activity_date,properties_num_associated_contacts,properties_num_associated_deals,properties_num_contacted_notes,properties_num_conversion_events,properties_num_notes,properties_numberofemployees,properties_phone,properties_recent_conversion_date,properties_recent_conversion_event_name,properties_recent_deal_amount,properties_recent_deal_close_date,properties_state,properties_timezone,properties_total_money_raised,properties_total_revenue,properties_twitterhandle,properties_type,properties_web_technologies,properties_website,properties_zip,record_id,snapshot_timestamp,source_id,updated_ts,dbt_valid_from,dbt_valid_to,version_n
CALCULATED,hs_analytics_first_timestamp,,,27639756060,27639756060,2025-09-02 20:00:41.580000000,,,,,102 North University Avenue,,10000000.0,Provo,,United States,2024-12-27 00:37:52.788000000,,"Ovation Up is a guest feedback platform for restaurants. They offer 2 question, SMS-based surveys that provide real-time information to drive customer retention, 5-star reviews, and revenue. Their platform, called Digital Table Touch™, allows restauran...",ovationup.com,,,,,2024-12-27 00:37:52.013000000,,,,2017.0,,,,,2024-12-27 00:37:00,,,,,,OFFLINE,IMPORT,55491794,2024-12-27 00:37:00,0.0,0.0,OFFLINE,IMPORT,55491794,,,,,2024-12-27 00:37:52.788000000,,,,,,,,,,,,,,,,,,https://na1.hubspot-logos.com/ovationup.com,,,,0,0,0,0,0,27639756060,COMPANIES,"""Create and associate companies with contacts"" setting",FetchAssociatedCompanyIdStep,CRM_SETTING,,companies-lifecycle-pipeline,,,,,0.3862511813640594,,,,,,,,,,,,,,,,,,COMPUTER_SOFTWARE,False,lead,https://www.linkedin.com/company/ovationup,"Ovation Up is a guest feedback platform for restaurants. They offer 2 question, SMS-based surveys that provide real-time information to drive customer retention, 5-star reviews, and revenue. Their platform, called Digital Table Touch™, allows restauran...",Ovation,,,,1,,,0.0,,50.0,,,,,,UT,America/Denver,1200000.0,,,,aws_route_53;wordpress;google_tag_manager;facebook_connect;facebook_advertiser;gravity_forms;salesforce;vimeo;recaptcha;google_analytics;piwik;google_apps;hubspot,ovationup.com,84601.0,be7f97d1a35194b09e7f13af2da08c38,2024-12-27 00:37:58,RollupProperties,2024-12-27 00:37:58.716000000,2024-12-27 00:37:58.716000000,,1
INTERNAL_PROCESSING,hs_target_account_probability,,,27639756060,27639756060,2025-09-02 20:00:41.580000000,,,,,102 North University Avenue,,10000000.0,Provo,,United States,2024-12-27 00:37:52.788000000,,"Ovation Up is a guest feedback platform for restaurants. They offer 2 question, SMS-based surveys that provide real-time information to drive customer retention, 5-star reviews, and revenue. Their platform, called Digital Table Touch™, allows restauran...",ovationup.com,,,,,2024-12-27 00:37:52.013000000,,,2024-12-27 22:42:14.241000000,2017.0,,,,,2024-12-27 00:37:00,,,,,,OFFLINE,IMPORT,55491794,2024-12-27 00:37:00,0.0,0.0,OFFLINE,IMPORT,55491794,,,,,2024-12-27 00:37:52.788000000,2024-12-27 22:42:14.864000000,2024-12-27 22:42:14.864000000,,,,,,,,,,,,,,,,https://na1.hubspot-logos.com/ovationup.com,,,,0,0,0,0,1,27639756060,COMPANIES,"""Create and associate companies with contacts"" setting",FetchAssociatedCompanyIdStep,CRM_SETTING,,companies-lifecycle-pipeline,,,,,0.4625744521617889,,,79462076.0,,45000.0,,,,,,,,,,,,,COMPUTER_SOFTWARE,False,opportunity,https://www.linkedin.com/company/ovationup,"Ovation Up is a guest feedback platform for restaurants. They offer 2 question, SMS-based surveys that provide real-time information to drive customer retention, 5-star reviews, and revenue. Their platform, called Digital Table Touch™, allows restauran...",Ovation,,,,1,1.0,,0.0,,50.0,,,,,,UT,America/Denver,1200000.0,,,,aws_route_53;wordpress;google_tag_manager;facebook_connect;facebook_advertiser;gravity_forms;salesforce;vimeo;recaptcha;google_analytics;piwik;google_apps;hubspot,ovationup.com,84601.0,bc72651a9e6b25f2664d545c1514089a,2024-12-27 22:42:20,,2024-12-27 22:42:20.470000000,2024-12-27 22:42:20.470000000,,2
CALCULATED,hs_analytics_first_timestamp,,,27654399866,27654399866,2025-09-02 20:02:14.836000000,,,,,3300 Ashton Boulevard,Suite 175,10000000.0,Lehi,,United States,2024-12-27 00:37:52.409000000,,"Clientbook is a startup company that offers a mobile client management solution tailored for retail. Their revolutionary app enables sales teams to efficiently organize and engage with customers, leading to increased store visits, sales conversion rates, and average dollar sales.",clientbook.com,,,,,2024-12-27 00:37:51.915000000,,,,,,,,,2024-12-27 00:37:00,,,,,,OFFLINE,IMPORT,55491794,2024-12-27 00:37:00,0.0,0.0,OFFLINE,IMPORT,55491794,,,,,2024-12-27 00:37:52.409000000,,,,,,,,,,,,,,,,,,https://na1.hubspot-logos.com/clientbook.com,,,,0,0,0,0,0,27654399866,COMPANIES,"""Create and associate companies with contacts"" setting",FetchAssociatedCompanyIdStep,CRM_SETTING,,companies-lifecycle-pipeline,,,,,0.3862511813640594,,,,,,,,,,,,,,,,,,,False,lead,https://www.linkedin.com/company/clientbook-retail,"Clientbook is a startup company that offers a mobile client management solution tailored for retail. Their revolutionary app enables sales teams to efficiently organize and engage with customers, leading to increased store visits, sales conversion rates, and average dollar sales.",Clientbook Retail,,,,1,,,0.0,,50.0,,,,,,UT,America/Denver,9900000.0,,clientbook,,aws_route_53;google_tag_manager;piwik;google_apps;sendgrid;hubspot;facebook_advertiser,clientbook.com,84043.0,b2ccbbd152c0af3cbeb84123855e06de,2024-12-27 00:37:56,RollupProperties,2024-12-27 00:37:56.737000000,2024-12-27 00:37:56.737000000,,1
INTERNAL_PROCESSING,hs_target_account_probability,,,27654399866,27654399866,2025-09-02 20:02:14.836000000,,,,,3300 Ashton Boulevard,Suite 175,10000000.0,Lehi,2024-12-27 22:38:55.464000000,United States,2024-12-27 00:37:52.409000000,0.0,"Clientbook is a startup company that offers a mobile client management solution tailored for retail. Their revolutionary app enables sales teams to efficiently organize and engage with customers, leading to increased store visits, sales conversion rates, and average dollar sales.",clientbook.com,,,,,2024-12-27 00:37:51.915000000,,,2024-12-27 22:38:54.887000000,,,,,,2024-12-27 00:37:00,,,,,,OFFLINE,IMPORT,55491794,2024-12-27 00:37:00,0.0,0.0,OFFLINE,IMPORT,55491794,,,,2024-12-27 22:38:55.464000000,2024-12-27 00:37:52.409000000,,2024-12-27 22:38:55.464000000,,,,,,,,,,,,,,,,https://na1.hubspot-logos.com/clientbook.com,,,,0,0,0,0,0,27654399866,COMPANIES,"""Create and associate companies with contacts"" setting",FetchAssociatedCompanyIdStep,CRM_SETTING,,companies-lifecycle-pipeline,,,,,0.4625744521617889,,,79263055.0,,,,,,,,,,,,,,,,False,customer,https://www.linkedin.com/company/clientbook-retail,"Clientbook is a startup company that offers a mobile client management solution tailored for retail. Their revolutionary app enables sales teams to efficiently organize and engage with customers, leading to increased store visits, sales conversion rates, and average dollar sales.",Clientbook Retail,,,,1,1.0,,0.0,,50.0,,,,45000.0,2024-12-27 22:38:23.411000000,UT,America/Denver,9900000.0,45000.0,clientbook,,aws_route_53;google_tag_manager;piwik;google_apps;sendgrid;hubspot;facebook_advertiser,clientbook.com,84043.0,ec85d46b1e0c63a2a4c3317163c0d5c7,2024-12-27 22:38:58,,2024-12-27 22:38:58.095000000,2024-12-27 22:38:58.095000000,,2
CALCULATED,hs_analytics_first_timestamp,,,27657461914,27657461914,2025-08-06 21:18:22.309000000,,,,,802 East 1050 South,,50000000.0,American Fork,,United States,2024-12-27 00:37:52.776000000,,"LVT — LiveView Technologies specializes in providing solar-powered surveillance camera systems that offer customizable monitoring solutions to enhance security for various properties, whether on or off the grid.",lvt.com,,,,,2024-12-27 00:37:51.769000000,,,,,,,,,2024-12-27 00:37:00,,,,,,OFFLINE,IMPORT,55491794,2024-12-27 00:37:00,0.0,0.0,OFFLINE,IMPORT,55491794,,,,,2024-12-27 00:37:52.776000000,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/lvt.com,,,,0,0,0,0,0,27657461914,COMPANIES,"""Create and associate companies with contacts"" setting",FetchAssociatedCompanyIdStep,CRM_SETTING,,companies-lifecycle-pipeline,,,,,0.3862511813640594,,,,,,,,,,,,,,,,,,COMPUTER_SOFTWARE,False,lead,https://www.linkedin.com/company/lvt,"LVT — LiveView Technologies specializes in providing solar-powered surveillance camera systems that offer customizable monitoring solutions to enhance security for various properties, whether on or off the grid.",LiveView Technologies,,,,1,,,0.0,,1000.0,+1 801-221-9408,,,,,UT,America/Denver,50000000.0,,lvt_test,,fullstory;google_tag_manager;google_analytics;godaddy_nameserver;piwik;bing_advertiser;hubspot;facebook_advertiser,lvt.com,84003.0,e37763ca2954fcb3459ad56afc02128b,2024-12-27 00:38:09,RollupProperties,2024-12-27 00:38:09.671000000,2024-12-27 00:38:09.671000000,,1
INTERNAL_PROCESSING,hs_lastmodifieddate,,,27657461914,27657461914,2025-08-06 21:18:22.309000000,,,,,802 East 1050 South,,50000000.0,American Fork,,United States,2024-12-27 00:37:52.776000000,,"LVT — LiveView Technologies specializes in providing solar-powered surveillance camera systems that offer customizable monitoring solutions to enhance security for various properties, whether on or off the grid.",lvt.com,,,,,2024-12-27 00:37:51.769000000,,,2024-12-27 22:26:56.673000000,,,,,,2024-12-27 00:37:00,,,,,,OFFLINE,IMPORT,55491794,2024-12-27 00:37:00,0.0,0.0,OFFLINE,IMPORT,55491794,,,,,2024-12-27 00:37:52.776000000,2024-12-27 22:26:57.350000000,2024-12-27 22:26:57.350000000,,,,,,,,,,,,,2024-12-27 22:27:02.823000000,,,https://logo.clearbit.com/lvt.com,,,,0,0,0,0,1,27657461914,COMPANIES,"""Create and associate companies with contacts"" setting",FetchAssociatedCompanyIdStep,CRM_SETTING,,companies-lifecycle-pipeline,,,,,0.4625744521617889,,,78544574.0,,,,,,,,,,,,,,,COMPUTER_SOFTWARE,False,opportunity,https://www.linkedin.com/company/lvt,"LVT — LiveView Technologies specializes in providing solar-powered surveillance camera systems that offer customizable monitoring solutions to enhance security for various properties, whether on or off the grid.",LiveView Technologies,,,,1,1.0,,0.0,,1000.0,+1 801-221-9408,,,,,UT,America/Denver,50000000.0,,lvt_test,,fullstory;google_tag_manager;google_analytics;godaddy_nameserver;piwik;bing_advertiser;hubspot;facebook_advertiser,lvt.com,84003.0,f74ccd721df185dbc86a00a4f5c91e17,2024-12-27 22:27:02,,2024-12-27 22:27:02.823000000,2024-12-27 22:27:02.823000000,,2
ENGAGEMENTS,hs_notes_last_activity,,,27658836031,27658836031,2025-08-22 21:15:20.466000000,,,,,,,10000000.0,San Francisco,,United States,2024-12-27 00:37:53.380000000,,,outerbounds.co,,,,,2024-12-27 00:37:52.742000000,,,,2021.0,,,,,2024-12-27 00:37:00,,,,,,OFFLINE,IMPORT,55491794,2024-12-27 00:37:00,0.0,0.0,OFFLINE,IMPORT,55491794,,,,,2024-12-27 00:37:53.380000000,,,,,,,,,,,,,,,,,,https://na1.hubspot-logos.com/outerbounds.co,0-46-67645857914,,,0,0,0,0,0,27658836031,COMPANIES,"""Create and associate companies with contacts"" setting",FetchAssociatedCompanyIdStep,CRM_SETTING,,companies-lifecycle-pipeline,,,,,0.3862511813640594,,,,,,,,,,,,,,,,,,COMPUTER_SOFTWARE,False,lead,https://www.linkedin.com/company/outerbounds,,Outerbounds,,2024-12-27 00:42:17,,1,,0.0,0.0,1.0,50.0,,,,,,CA,America/Los_Angeles,,,,,amazon_s3;namecheap_dns;slack;google_tag_manager;google_apps,outerbounds.co,94105.0,b6b6673d69fe58c3cf073ab83ceac53f,2024-12-27 00:42:18,rollup,2024-12-27 00:42:18.043000000,2024-12-27 00:42:18.043000000,,1
INTERNAL_PROCESSING,hs_lastmodifieddate,,,27658836031,27658836031,2025-08-22 21:15:20.466000000,,,,,,,10000000.0,San Francisco,,United States,2024-12-27 00:37:53.380000000,,,outerbounds.co,,,,,2024-12-27 00:37:52.742000000,,,2024-12-27 22:32:23.789000000,2021.0,,,,,2024-12-27 00:37:00,,,,,,OFFLINE,IMPORT,55491794,2024-12-27 00:37:00,0.0,0.0,OFFLINE,IMPORT,55491794,,,,,2024-12-27 00:37:53.380000000,2024-12-27 22:32:24.697000000,2024-12-27 22:32:24.697000000,,,,,,,,,,,,,2024-12-27 22:32:29.744000000,,,https://na1.hubspot-logos.com/outerbounds.co,0-46-67645857914,,,0,0,0,0,1,27658836031,COMPANIES,"""Create and associate companies with contacts"" setting",FetchAssociatedCompanyIdStep,CRM_SETTING,,companies-lifecycle-pipeline,,,,,0.4625744521617889,,,78871317.0,,,,,,,,,,,,,,,COMPUTER_SOFTWARE,False,opportunity,https://www.linkedin.com/company/outerbounds,,Outerbounds,,2024-12-27 00:42:17,,1,1.0,0.0,0.0,1.0,50.0,,,,,,CA,America/Los_Angeles,,,,,amazon_s3;namecheap_dns;slack;google_tag_manager;google_apps,outerbounds.co,94105.0,d6be7b4f9f7cdb91aeafc25257bbbe0b,2024-12-27 22:32:29,,2024-12-27 22:32:29.744000000,2024-12-27 22:32:29.744000000,,2
CALCULATED,hs_analytics_first_timestamp,,,27660933800,27660933800,2025-08-27 03:34:16.336000000,,,,,4305 Mackenzie Drive,,100000000.0,Moore,,United States,2024-12-27 00:37:52.413000000,,"Moxie Pest Control Of Oklahoma provides eco-friendly pest management services for residential and commercial customers in Oklahoma, ensuring a pest-free environment with exceptional customer service.",moxiepestcontrol.com,,,,,2024-12-27 00:37:51.673000000,,,,,,,,,2024-12-27 00:37:00,,,,,,OFFLINE,IMPORT,55491794,2024-12-27 00:37:00,0.0,0.0,OFFLINE,IMPORT,55491794,,,,,2024-12-27 00:37:52.413000000,,,,,,,,,,,,,,,,,,https://na1.hubspot-logos.com/moxiepestcontrol.com,,,,0,0,0,0,0,27660933800,COMPANIES,"""Create and associate companies with contacts"" setting",FetchAssociatedCompanyIdStep,CRM_SETTING,,companies-lifecycle-pipeline,,,,,0.3862511813640594,,,,,,,,,,,,,,,,,,,False,lead,https://www.linkedin.com/company/moxie-pest-control-of-oklahoma,"Moxie Pest Control Of Oklahoma provides eco-friendly pest management services for residential and commercial customers in Oklahoma, ensuring a pest-free environment with exceptional customer service.",Moxie Pest Control Of Oklahoma,,,,1,,,0.0,,1000.0,,,,,,OK,America/Chicago,,,,,google_tag_manager;mandrill;godaddy_nameserver;bing_advertiser;campaignmonitor;facebook_advertiser;gravity_forms;salesforce;google_analytics,moxiepestcontrol.com,73160.0,bcf1e1df93501b779879ebc11844221c,2024-12-27 00:38:11,RollupProperties,2024-12-27 00:38:11.339000000,2024-12-27 00:38:11.339000000,,1
CALCULATED,first_deal_created_date,,,27660933800,27660933800,2025-08-27 03:34:16.336000000,,,,,4305 Mackenzie Drive,,100000000.0,Moore,,United States,2024-12-27 00:37:52.413000000,,"Moxie Pest Control Of Oklahoma provides eco-friendly pest management services for residential and commercial customers in Oklahoma, ensuring a pest-free environment with exceptional customer service.",moxiepestcontrol.com,,,,,2024-12-27 00:37:51.673000000,,,2024-12-27 22:44:08.759000000,,,,,,2024-12-27 00:37:00,,,,,,OFFLINE,IMPORT,55491794,2024-12-27 00:37:00,0.0,0.0,OFFLINE,IMPORT,55491794,,,,,2024-12-27 00:37:52.413000000,2024-12-27 22:44:09.334000000,2024-12-27 22:44:09.334000000,,,,,,,,,,,,,,,,https://na1.hubspot-logos.com/moxiepestcontrol.com,,,,0,0,0,0,1,27660933800,COMPANIES,"""Create and associate companies with contacts"" setting",FetchAssociatedCompanyIdStep,CRM_SETTING,,companies-lifecycle-pipeline,,,,,0.3862511813640594,,,79576921.0,,45000.0,,,,,,,,,,,,,,False,opportunity,https://www.linkedin.com/company/moxie-pest-control-of-oklahoma,"Moxie Pest Control Of Oklahoma provides eco-friendly pest management services for residential and commercial customers in Oklahoma, ensuring a pest-free environment with exceptional customer service.",Moxie Pest Control Of Oklahoma,,,,1,1.0,,0.0,,1000.0,,,,,,OK,America/Chicago,,,,,google_tag_manager;mandrill;godaddy_nameserver;bing_advertiser;campaignmonitor;facebook_advertiser;gravity_forms;salesforce;google_analytics,moxiepestcontrol.com,73160.0,b48639e3e5d9f9d7d2179ae4fc5ec646,2024-12-27 22:44:10,RollupProperties,2024-12-27 22:44:10.356000000,2024-12-27 22:44:10.356000000,,2
