change_source,changed_property,changed_value_new,changed_value_old,entity_id,id,last_modified,nango_metadata_cursor,nango_metadata_first_seen_at,nango_metadata_last_action,nango_metadata_last_modified_at,properties_amount,properties_amount_in_home_currency,properties_closed_lost_reason,properties_closedate,properties_createdate,properties_days_to_close,properties_deal_currency_code,properties_dealname,properties_dealstage,properties_dealtype,properties_engagements_last_meeting_booked,properties_hs_actual_duration,properties_hs_all_accessible_team_ids,properties_hs_all_assigned_business_unit_ids,properties_hs_all_owner_ids,properties_hs_all_team_ids,properties_hs_analytics_latest_source,properties_hs_analytics_latest_source_company,properties_hs_analytics_latest_source_contact,properties_hs_analytics_latest_source_data_1,properties_hs_analytics_latest_source_data_1_company,properties_hs_analytics_latest_source_data_1_contact,properties_hs_analytics_latest_source_data_2,properties_hs_analytics_latest_source_data_2_company,properties_hs_analytics_latest_source_data_2_contact,properties_hs_analytics_latest_source_timestamp,properties_hs_analytics_latest_source_timestamp_company,properties_hs_analytics_latest_source_timestamp_contact,properties_hs_analytics_source,properties_hs_analytics_source_data_1,properties_hs_analytics_source_data_2,properties_hs_attributed_team_ids,properties_hs_average_call_duration,properties_hs_closed_amount,properties_hs_closed_amount_in_home_currency,properties_hs_closed_deal_close_date,properties_hs_closed_deal_create_date,properties_hs_closed_won_count,properties_hs_closed_won_date,properties_hs_created_by_user_id,properties_hs_createdate,properties_hs_days_to_close_raw,properties_hs_deal_score,properties_hs_deal_stage_probability,properties_hs_deal_stage_probability_shadow,properties_hs_duration,properties_hs_forecast_amount,properties_hs_forecast_probability,properties_hs_is_closed,properties_hs_is_closed_count,properties_hs_is_closed_lost,properties_hs_is_closed_won,properties_hs_is_deal_split,properties_hs_is_in_first_deal_stage,properties_hs_is_open_count,properties_hs_is_stalled,properties_hs_lastmodifieddate,properties_hs_latest_marketing_email_click_date,properties_hs_latest_meeting_activity,properties_hs_latest_sales_email_click_date,properties_hs_latest_sales_email_open_date,properties_hs_latest_sales_email_reply_date,properties_hs_next_meeting_id,properties_hs_next_meeting_name,properties_hs_next_meeting_start_time,properties_hs_notes_last_activity,properties_hs_notes_next_activity,properties_hs_notes_next_activity_type,properties_hs_num_associated_active_deal_registrations,properties_hs_num_associated_deal_registrations,properties_hs_num_associated_deal_splits,properties_hs_num_of_associated_line_items,properties_hs_num_target_accounts,properties_hs_number_of_call_engagements,properties_hs_number_of_inbound_calls,properties_hs_number_of_outbound_calls,properties_hs_number_of_overdue_tasks,properties_hs_number_of_scheduled_meetings,properties_hs_object_id,properties_hs_object_source,properties_hs_object_source_id,properties_hs_object_source_label,properties_hs_object_source_user_id,properties_hs_open_amount_in_home_currency,properties_hs_open_deal_create_date,properties_hs_primary_associated_company,properties_hs_priority,properties_hs_projected_amount,properties_hs_projected_amount_in_home_currency,properties_hs_sales_email_last_replied,properties_hs_updated_by_user_id,properties_hs_user_ids_of_all_owners,properties_hs_v2_cumulative_time_in_1021675605,properties_hs_v2_cumulative_time_in_1036321159,properties_hs_v2_cumulative_time_in_983301681,properties_hs_v2_cumulative_time_in_983301682,properties_hs_v2_cumulative_time_in_983301686,properties_hs_v2_cumulative_time_in_983990949,properties_hs_v2_cumulative_time_in_appointmentscheduled,properties_hs_v2_cumulative_time_in_decisionmakerboughtin,properties_hs_v2_cumulative_time_in_presentationscheduled,properties_hs_v2_date_entered_1021675605,properties_hs_v2_date_entered_1036321159,properties_hs_v2_date_entered_1113913782,properties_hs_v2_date_entered_983301681,properties_hs_v2_date_entered_983301682,properties_hs_v2_date_entered_983301683,properties_hs_v2_date_entered_983301686,properties_hs_v2_date_entered_983990949,properties_hs_v2_date_entered_appointmentscheduled,properties_hs_v2_date_entered_closedlost,properties_hs_v2_date_entered_closedwon,properties_hs_v2_date_entered_current_stage,properties_hs_v2_date_entered_decisionmakerboughtin,properties_hs_v2_date_entered_presentationscheduled,properties_hs_v2_date_exited_1021675605,properties_hs_v2_date_exited_1036321159,properties_hs_v2_date_exited_983301681,properties_hs_v2_date_exited_983301682,properties_hs_v2_date_exited_983301686,properties_hs_v2_date_exited_983990949,properties_hs_v2_date_exited_appointmentscheduled,properties_hs_v2_date_exited_decisionmakerboughtin,properties_hs_v2_date_exited_presentationscheduled,properties_hs_v2_latest_time_in_1021675605,properties_hs_v2_latest_time_in_1036321159,properties_hs_v2_latest_time_in_983301681,properties_hs_v2_latest_time_in_983301682,properties_hs_v2_latest_time_in_983301686,properties_hs_v2_latest_time_in_983990949,properties_hs_v2_latest_time_in_appointmentscheduled,properties_hs_v2_latest_time_in_decisionmakerboughtin,properties_hs_v2_latest_time_in_presentationscheduled,properties_hs_v2_time_in_current_stage,properties_hs_weighted_pipeline_in_company_currency,properties_hubspot_owner_assigneddate,properties_hubspot_owner_id,properties_hubspot_team_id,properties_notes_last_contacted,properties_notes_last_updated,properties_notes_next_activity_date,properties_num_associated_contacts,properties_num_contacted_notes,properties_num_notes,properties_pipeline,record_id,snapshot_timestamp,source_id,updated_ts,dbt_valid_from,dbt_valid_to,version_n,pipeline_name,stage_name
AI_GROUP,hs_deal_score,,,31085875757,31085875757,2025-08-28 00:30:09.779000000,,,,,,,,2025-02-28 22:26:36.822000000,2024-12-27 22:26:56.673000000,62,,LiveView Technologies,appointmentscheduled,newbusiness,,,,0,1144888885,,OFFLINE,OFFLINE,OFFLINE,IMPORT,IMPORT,IMPORT,55491794,55491794,55491794,2024-12-27 00:37:00,2024-12-27 00:37:00,2024-12-27 00:37:00,OFFLINE,IMPORT,55491794,,,0,0,0,0,0,,75501330,2024-12-27 22:26:56.673000000,62.99977,43.0,0.2,0.2,,,,False,0,False,False,False,True,1,,,,,,,,,,,,,,0,0,0,0,0,,,,,,31085875757,CRM_UI,userId:75501330,CRM_UI,75501330,,1735320416673,,,,,,75501330,69592138,,,,,,,,,,,,,,,,,,2024-12-27 22:26:56.673000000,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-27 22:26:56.673000000,1144888885,,,,,1,,,default,c47d20983d69e107c1a85ca8d361ec52,2024-12-27 23:27:56,OnUpdatePrediction,2024-12-27 23:27:56.969000000,2024-12-27 23:27:56.969000000,,1,Sales pipeline,Discovery
CRM_UI,dealname,,,31085876637,31085876637,2025-09-03 20:03:40.874000000,,,,,45000.0,45000.0,,2024-12-27 22:36:28.378000000,2024-12-27 22:37:48.078000000,0,USD,Distro - Onboarding ,983301686,,,,,0,1144888885,,OFFLINE,OFFLINE,OFFLINE,IMPORT,IMPORT,IMPORT,55491794,55491794,55491794,2024-12-27 00:37:00,2024-12-27 00:37:00,2024-12-27 00:37:00,OFFLINE,IMPORT,55491794,,,45000,45000,0,0,1,2024-12-27 22:36:28.378000000,75501330,2024-12-27 22:37:48.078000000,0.0,,1.0,1.0,,45000.0,,True,1,False,True,False,False,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,31085876637,CRM_UI,userId:75501330,CRM_UI,75501330,,0,,,45000.0,45000.0,,75501330,69592138,,,,,,,,,,,,,,,,2024-12-27 22:37:48.078000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-27 22:37:48.078000000,1144888885,,,,,1,,,670475952,9c330a28b30f23360fac0804e3c29bcd,2024-12-27 22:48:46,userId:75501330,2024-12-27 22:48:46.171000000,2024-12-27 22:48:46.171000000,,1,Customer Pipeline,Competed Implementation
CALCULATED,hs_analytics_latest_source,,,31085877123,31085877123,2025-09-02 20:00:37.738000000,,,,,45000.0,45000.0,,2025-02-28 22:42:45.247000000,2024-12-27 22:43:13.832000000,62,USD,Tactic- Onboarding,983301682,,,,,0,1144888885,,OFFLINE,OFFLINE,OFFLINE,IMPORT,IMPORT,IMPORT,55491794,55491794,55491794,2024-12-27 00:37:00,2024-12-27 00:37:00,2024-12-27 00:37:00,OFFLINE,IMPORT,55491794,,,0,0,0,0,0,,75501330,2024-12-27 22:43:13.832000000,62.999669,,0.4,0.4,,45000.0,,False,0,False,False,False,False,1,,,,,,,,,,,,,,0,0,0,0,0,,,,,,31085877123,CRM_UI,userId:75501330,CRM_UI,75501330,,1735321393832,,,18000.0,18000.0,,75501330,69592138,,,,,,,,,,,,,,2024-12-27 22:43:13.832000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-27 22:43:13.832000000,1144888885,,,,,1,,,670475952,b38e4749682b48c137ead16909b02cd4,2024-12-27 22:43:15,CalculatedPropertyComputer,2024-12-27 22:43:15.022000000,2024-12-27 22:43:15.022000000,,1,Customer Pipeline,Onboarding
CALCULATED,hs_analytics_latest_source,,,31085877164,31085877164,2025-09-03 19:18:55.573000000,,,,,45000.0,45000.0,,2025-02-28 22:43:39.028000000,2024-12-27 22:44:08.759000000,62,USD,Moxie - Onboarding,983301682,,,,,0,1144888885,,OFFLINE,OFFLINE,OFFLINE,IMPORT,IMPORT,IMPORT,55491794,55491794,55491794,2024-12-27 00:37:00,2024-12-27 00:37:00,2024-12-27 00:37:00,OFFLINE,IMPORT,55491794,,,0,0,0,0,0,,75501330,2024-12-27 22:44:08.759000000,62.999656,,0.4,0.4,,45000.0,,False,0,False,False,False,False,1,,,,,,,,,,,,,,0,0,0,0,0,,,,,,31085877164,CRM_UI,userId:75501330,CRM_UI,75501330,,1735321448759,,,18000.0,18000.0,,75501330,69592138,,,,,,,,,,,,,,2024-12-27 22:44:08.759000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-27 22:44:08.759000000,1144888885,,,,,1,,,670475952,919e788c558fbf9b4d1e03bf80c14f25,2024-12-27 22:44:10,CalculatedPropertyComputer,2024-12-27 22:44:10.231000000,2024-12-27 22:44:10.231000000,,1,Customer Pipeline,Onboarding
CALCULATED,hs_analytics_latest_source,,,31089262680,31089262680,2025-08-12 17:37:17.630000000,,,,,,,,2025-02-28 22:30:59.939000000,2024-12-27 22:31:23.180000000,62,,Hona,appointmentscheduled,newbusiness,,,,0,1960206904,,OFFLINE,OFFLINE,OFFLINE,IMPORT,IMPORT,IMPORT,55491794,55491794,55491794,2024-12-27 00:37:00,2024-12-27 00:37:00,2024-12-27 00:37:00,OFFLINE,IMPORT,55491794,,,0,0,0,0,0,,75501330,2024-12-27 22:31:23.180000000,62.999731,,0.2,0.2,,,,False,0,False,False,False,True,1,,,,,,,,,,,,,,0,0,0,0,0,,,,,,31089262680,CRM_UI,userId:75501330,CRM_UI,75501330,,1735320683180,,,,,,75501330,69585923,,,,,,,,,,,,,,,,,,2024-12-27 22:31:23.180000000,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-27 22:31:23.180000000,1960206904,,,,,1,,,default,09564d84830bfbe1a753cc8c339b6bc4,2024-12-27 22:31:24,CalculatedPropertyComputer,2024-12-27 22:31:24.514000000,2024-12-27 22:31:24.514000000,,1,Sales pipeline,Discovery
AI_GROUP,hs_deal_score,,,31089262749,31089262749,2025-08-22 22:16:25.517000000,,,,,,,,2025-02-28 22:32:04.474000000,2024-12-27 22:32:23.789000000,62,,Outerbounds,appointmentscheduled,newbusiness,,,,0,1960206904,,OFFLINE,OFFLINE,OFFLINE,IMPORT,IMPORT,IMPORT,55491794,55491794,55491794,2024-12-27 00:37:00,2024-12-27 00:37:00,2024-12-27 00:37:00,OFFLINE,IMPORT,55491794,,,0,0,0,0,0,,75501330,2024-12-27 22:32:23.789000000,62.999776,43.0,0.2,0.2,,,,False,0,False,False,False,True,1,,,,,,,,,,,,,,0,0,0,0,0,,,,,,31089262749,CRM_UI,userId:75501330,CRM_UI,75501330,,1735320743789,,,,,,75501330,69585923,,,,,,,,,,,,,,,,,,2024-12-27 22:32:23.789000000,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-27 22:32:23.789000000,1960206904,,,,,1,,,default,bbdb9548d6ee5fb224989b62e0f877fd,2024-12-27 23:33:24,OnUpdatePrediction,2024-12-27 23:33:24.553000000,2024-12-27 23:33:24.553000000,,1,Sales pipeline,Discovery
CRM_UI,dealname,,,31089263391,31089263391,2025-09-02 20:00:12.008000000,,,,,45000.0,45000.0,,2024-12-27 22:38:23.411000000,2024-12-27 22:38:54.887000000,0,USD,Clientbook - Onboarding,983301686,,,,,0,1144888885,,OFFLINE,OFFLINE,OFFLINE,IMPORT,IMPORT,IMPORT,55491794,55491794,55491794,2024-12-27 00:37:00,2024-12-27 00:37:00,2024-12-27 00:37:00,OFFLINE,IMPORT,55491794,,,45000,45000,0,0,1,2024-12-27 22:38:23.411000000,75501330,2024-12-27 22:38:54.887000000,0.0,,1.0,1.0,,45000.0,,True,1,False,True,False,False,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,31089263391,CRM_UI,userId:75501330,CRM_UI,75501330,,0,,,45000.0,45000.0,,75501330,69592138,,,,,,,,,,,,,,,,2024-12-27 22:38:54.887000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-27 22:38:54.887000000,1144888885,,,,,1,,,670475952,b77c3088f6f9f7cb219c9fba28ec0f22,2024-12-27 22:48:27,userId:75501330,2024-12-27 22:48:27.648000000,2024-12-27 22:48:27.648000000,,1,Customer Pipeline,Competed Implementation
CRM_UI,dealname,,,31089263489,31089263489,2025-09-02 19:00:51.830000000,,,,,45000.0,45000.0,,2025-02-28 22:39:46.346000000,2024-12-27 22:40:28.870000000,62,USD,Labl - Onboarding,983301682,,,,,0,1144888885,,OFFLINE,OFFLINE,OFFLINE,IMPORT,IMPORT,IMPORT,55491794,55491794,55491794,2024-12-27 00:37:00,2024-12-27 00:37:00,2024-12-27 00:37:00,OFFLINE,IMPORT,55491794,,,0,0,0,0,0,,75501330,2024-12-27 22:40:28.870000000,62.999508,,0.4,0.4,,45000.0,,False,0,False,False,False,False,1,,,,,,,,,,,,,,0,0,0,0,0,,,,,,31089263489,CRM_UI,userId:75501330,CRM_UI,75501330,,1735321228870,,,18000.0,18000.0,,75501330,69592138,,,,,,,,,,,,,,2024-12-27 22:40:28.870000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-27 22:40:28.870000000,1144888885,,,,,1,,,670475952,f2f03d4d1f6279875ae93a4441238e42,2024-12-27 22:48:11,userId:75501330,2024-12-27 22:48:11.835000000,2024-12-27 22:48:11.835000000,,1,Customer Pipeline,Onboarding
CALCULATED,hs_analytics_latest_source,,,31089263662,31089263662,2025-09-02 20:00:30.591000000,,,,,45000.0,45000.0,,2025-02-28 22:41:43.479000000,2024-12-27 22:42:14.241000000,62,USD,Ovation - Onboarding,983301682,,,,,0,1144888885,,OFFLINE,OFFLINE,OFFLINE,IMPORT,IMPORT,IMPORT,55491794,55491794,55491794,2024-12-27 00:37:00,2024-12-27 00:37:00,2024-12-27 00:37:00,OFFLINE,IMPORT,55491794,,,0,0,0,0,0,,75501330,2024-12-27 22:42:14.241000000,62.999644,,0.4,0.4,,45000.0,,False,0,False,False,False,False,1,,,,,,,,,,,,,,0,0,0,0,0,,,,,,31089263662,CRM_UI,userId:75501330,CRM_UI,75501330,,1735321334241,,,18000.0,18000.0,,75501330,69592138,,,,,,,,,,,,,,2024-12-27 22:42:14.241000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-27 22:42:14.241000000,1144888885,,,,,1,,,670475952,bdf278bef7697690061aa8a48a4eddae,2024-12-27 22:42:16,CalculatedPropertyComputer,2024-12-27 22:42:16.196000000,2024-12-27 22:42:16.196000000,,1,Customer Pipeline,Onboarding
CALCULATED,hs_analytics_latest_source,,,31089263922,31089263922,2025-08-28 22:31:29.245000000,,,,,95000.0,95000.0,,2025-02-28 22:44:34.261000000,2024-12-27 22:44:53.252000000,62,USD,Health Catalyst - Onboarding,983301682,,,,,0,1144888885,,OFFLINE,OFFLINE,OFFLINE,IMPORT,IMPORT,IMPORT,55491794,55491794,55491794,2024-12-27 00:37:00,2024-12-27 00:37:00,2024-12-27 00:37:00,OFFLINE,IMPORT,55491794,,,0,0,0,0,0,,75501330,2024-12-27 22:44:53.252000000,62.99978,,0.4,0.4,,95000.0,,False,0,False,False,False,False,1,,,,,,,,,,,,,,0,0,0,0,0,,,,,,31089263922,CRM_UI,userId:75501330,CRM_UI,75501330,,1735321493252,,,38000.0,38000.0,,75501330,69592138,,,,,,,,,,,,,,2024-12-27 22:44:53.252000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-27 22:44:53.252000000,1144888885,,,,,1,,,670475952,3f100baeddd7a3a74572290f7b642e64,2024-12-27 22:44:54,CalculatedPropertyComputer,2024-12-27 22:44:54,2024-12-27 22:44:54,,1,Customer Pipeline,Onboarding
